name,thumbnail,view,previous_time,video_url,start_date,comment,likes_num,unlikes_num
세상에 공개 되면 안 되는 미방분 모음! / [영리한 문제아들] 비하인드 : 미방분/ 수퍼비 언에듀케이티드 키드 트웰브 유시온,https://i.ytimg.com/vi/hDRlWn78e6A/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAO5YkSNWWib03WlY0BL-CIm2ocrA,8.7만회,16시간 전,http://www.youtube.com/watch?v=hDRlWn78e6A,•2020. 6. 7.,댓글 451개,2.3천개,24개
이 집 제육볶음 잘 하네... I [어이~ 오씨~] 오담률 (김농밀) I TEASER,https://i.ytimg.com/vi/-biNhiZx3SU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA7BOHRot8mIwj6yV1IMcE7kuqbWA,18만회,3일 전,http://www.youtube.com/watch?v=-biNhiZx3SU,•2020. 6. 5.,댓글 864개,2.6천개,51개
나이 많은 사람은 힙합을 싫어한다고?! 트로트랩을 들은 어르신들의 반응은 과연...?  | [영리한 문제아들 EP.5] 힙합은 어린애들만 듣는다고?,https://i.ytimg.com/vi/FgZjW_QMTW8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBa4xA6e17JW_8hkQxawzXxP0wlUw,20만회,4일 전,http://www.youtube.com/watch?v=FgZjW_QMTW8,•2020. 6. 4.,"댓글 1,590개",4.3천개,63개
"[4K] MBC 힙합걸Z (브린(Bryn), 하선호(Sandy), 이영지)의 킬링벌스를 라이브로! I Lilly, 돌멩이, DNA (Youth Remix) 등",https://i.ytimg.com/vi/UDex1bH2vbM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAqm_HmHAaMaVtoDU-6_DIuQ69iTg,122만회,1주 전,http://www.youtube.com/watch?v=UDex1bH2vbM,•최초 공개: 2020. 5. 29.,"댓글 6,339개",2.8만개,710개
남초 회사 근무중... 어떤 오빠가 제일 문제일까? | [영리한 문제아들 EP.4] 힙합하는 애들은 다 양아치라고?!,https://i.ytimg.com/vi/JLjQMj9uidM/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAOTKEVtKTQqOMyo1Ra9s8qPJbnBg,38만회,1주 전,http://www.youtube.com/watch?v=JLjQMj9uidM,•최초 공개: 2020. 5. 28.,"댓글 1,971개",6.6천개,125개
"Rohann (이로한)의 첫 정규앨범 NEVERLAND✨✨ | [집에 갈래?] 변하지 않아 (Feat. HAON, CHANGMO)",https://i.ytimg.com/vi/hjzKy20G6Lg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD4NbSxtgzdNa9nuWmFkgg0BqEWlg,11만회,1주 전,http://www.youtube.com/watch?v=hjzKy20G6Lg,•2020. 5. 27.,댓글 391개,2.4천개,28개
"수퍼비, 트월킹이다 질문받는다 | [영리한 문제아들] 비하인드 : 댓글 읽기",https://i.ytimg.com/vi/r_5gsfcH-Wg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA6qbAde4tYNNhd_f6SyzXJAqpCuA,25만회,1주 전,http://www.youtube.com/watch?v=r_5gsfcH-Wg,•2020. 5. 26.,"댓글 1,960개",5.4천개,78개
(전) 던밀스 (역)🎉🎉  드디어 싹이 보이는 딩고 VMC 콜라보...? / [던밀스의 귀환],https://i.ytimg.com/vi/TxevvmA4uho/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBHagAiOk3VAfxWEN8EojghUj9amA,32만회,2주 전,http://www.youtube.com/watch?v=TxevvmA4uho,•2020. 5. 25.,"댓글 1,262개",5.3천개,67개
"트로트랩 (Melody Ver.) | [Official Lyric Video] 수퍼비, 언에듀케이티드 키드, 트웰브, 유시온",https://i.ytimg.com/vi/NE8rtMcB15A/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDxVoE36YRDlJS_rLoPYVR2pCIf1g,46만회,2주 전,http://www.youtube.com/watch?v=NE8rtMcB15A,•2020. 5. 23.,"댓글 2,970개",9.1천개,105개
"내일 발매될 스월비 정규앨범 미리듣기! I [앨범 스포일러] 스월비 (Swervy) With SUI, Paloalto, Huckleberry P [Undercover Angel]",https://i.ytimg.com/vi/vbKRXir7114/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDc-u_ylr6UuAhjxAFHktEacBI6dw,12만회,2주 전,http://www.youtube.com/watch?v=vbKRXir7114,•2020. 5. 22.,댓글 734개,2.4천개,76개
